ac,state,pop
AL,alabama,"4,903,185"
AK,alaska,"731,545"
AZ,arizona,"7,278,717"
AR,arkansas,"3,017,804"
CA,california,"39,512,223"
CO,colorado,"5,758,736"
CT,connecticut,"3,565,287"
DE,delaware,"973,764"
#N/A,district of columbia,"705,749"
FL,florida,"21,477,737"
GA,georgia,"10,617,423"
HI,hawaii,"1,415,872"
ID,idaho,"1,787,065"
IL,illinois,"12,671,821"
IN,indiana,"6,732,219"
IA,iowa,"3,155,070"
KS,kansas,"2,913,314"
KY,kentucky,"4,467,673"
LA,louisiana,"4,648,794"
ME,maine,"1,344,212"
MD,maryland,"6,045,680"
MA,massachusetts,"6,892,503"
MI,michigan,"9,986,857"
MN,minnesota,"5,639,632"
MS,mississippi,"2,976,149"
MO,missouri,"6,137,428"
MT,montana,"1,068,778"
NE,nebraska,"1,934,408"
NV,nevada,"3,080,156"
NH,new hampshire,"1,359,711"
NJ,new jersey,"8,882,190"
NM,new mexico,"2,096,829"
NY,new york,"19,453,561"
NC,north carolina,"10,488,084"
ND,north dakota,"762,062"
OH,ohio,"11,689,100"
OK,oklahoma,"3,956,971"
OR,oregon,"4,217,737"
PA,pennsylvania,"12,801,989"
RI,rhode island,"1,059,361"
SC,south carolina,"5,148,714"
SD,south dakota,"884,659"
TN,tennessee,"6,829,174"
TX,texas,"28,995,881"
UT,utah,"3,205,958"
VT,vermont,"623,989"
VA,virginia,"8,535,519"
WA,washington,"7,614,893"
WV,west virginia,"1,792,147"
WI,wisconsin,"5,822,434"
WY,wyoming,"578,759"
